Test,Sensor,Distance (inches),Angle (degrees)
1,1,12.775590551181102,222.23000000000002
1,2,12.5,322.07
1,3,14.625984251968504,49.43000000000001
1,4,14.901574803149606,133.58
2,1,12.775590551181102,222.26
2,2,12.65748031496063,322.18
2,3,14.586614173228346,49.56
2,4,14.82283464566929,134.31
3,1,12.421259842519685,222.18
3,2,12.775590551181102,321.77
3,3,14.625984251968504,49.670000000000016
3,4,14.468503937007874,135.39
4,1,12.578740157480315,222.3
4,2,12.65748031496063,322.35
4,3,14.665354330708661,49.579999999999984
4,4,14.901574803149606,134.24
5,1,12.736220472440944,221.82
5,2,12.539370078740157,317.07
5,3,14.507874015748031,49.64999999999998
5,4,14.940944881889763,133.86
6,1,12.696850393700787,222.45999999999998
6,2,12.5,322.68
6,3,14.625984251968504,49.49000000000001
6,4,14.38976377952756,135.55
7,1,12.696850393700787,222.43
7,2,12.854330708661417,322.39
7,3,14.429133858267717,45.69
7,4,14.507874015748031,135.55
8,1,12.65748031496063,222.32999999999998
8,2,12.775590551181102,322.41999999999996
8,3,14.665354330708661,49.670000000000016
8,4,13.799212598425196,135.55
9,1,12.775590551181102,222.38
9,2,12.539370078740157,322.51
9,3,14.547244094488189,49.81
9,4,14.901574803149606,133.65
10,1,12.65748031496063,222.63
10,2,12.5,322.7
10,3,14.429133858267717,49.69
10,4,14.82283464566929,134.03
11,1,12.736220472440944,222.66000000000003
11,2,12.696850393700787,317.14
11,3,14.547244094488189,49.69999999999999
11,4,14.901574803149606,134.57
12,1,12.618110236220472,223.74
12,2,12.81496062992126,322.08000000000004
12,3,14.665354330708661,49.620000000000005
12,4,14.940944881889763,134.51
13,1,12.696850393700787,222.39999999999998
13,2,12.854330708661417,322.37
13,3,14.704724409448819,49.72000000000003
13,4,14.98031496062992,134.64
14,1,12.65748031496063,222.57999999999998
14,2,12.65748031496063,317.21000000000004
14,3,14.547244094488189,49.77999999999997
14,4,14.625984251968504,134.97
15,1,12.81496062992126,222.51999999999998
15,2,12.736220472440944,322.49
15,3,14.547244094488189,50.73000000000002
15,4,14.940944881889763,133.55
16,1,11.948818897637794,223.88
16,2,12.578740157480315,322.57
16,3,14.23228346456693,50.76999999999998
16,4,14.862204724409448,133.62
17,1,12.539370078740157,223.81
17,2,12.81496062992126,321.37
17,3,14.429133858267717,50.81999999999999
17,4,14.783464566929133,134.46
18,1,12.696850393700787,221.29000000000002
18,2,12.65748031496063,322.5
18,3,14.192913385826772,50.81
18,4,14.586614173228346,135.46
19,1,12.65748031496063,222.2
19,2,12.618110236220472,322.57
19,3,14.547244094488189,49.94
19,4,14.862204724409448,130.54
20,1,12.736220472440944,222.64999999999998
20,2,12.5,322.48
20,3,14.586614173228346,49.68000000000001
20,4,14.783464566929133,130.51
21,1,12.65748031496063,222.57999999999998
21,2,12.775590551181102,320.28
21,3,14.547244094488189,49.73000000000002
21,4,14.625984251968504,130.51
22,1,12.696850393700787,222.57
22,2,12.736220472440944,322.52
22,3,14.665354330708661,49.660000000000025
22,4,14.271653543307087,135.3
23,1,12.736220472440944,222.57999999999998
23,2,12.5,320.28999999999996
23,3,14.547244094488189,50.579999999999984
23,4,14.862204724409448,134.38
24,1,12.736220472440944,222.52999999999997
24,2,12.696850393700787,322.51
24,3,14.625984251968504,49.72000000000003
24,4,14.783464566929133,134.26
25,1,12.696850393700787,222.52999999999997
25,2,12.775590551181102,322.46000000000004
25,3,14.665354330708661,49.45999999999998
25,4,14.468503937007874,130.51
26,1,12.736220472440944,222.57999999999998
26,2,12.854330708661417,321.41999999999996
26,3,14.507874015748031,49.860000000000014
26,4,14.901574803149606,133.92
27,1,12.736220472440944,222.57
27,2,12.696850393700787,322.7
27,3,14.547244094488189,45.75
27,4,14.901574803149606,134.42
28,1,12.775590551181102,222.64999999999998
28,2,12.736220472440944,322.49
28,3,14.547244094488189,49.629999999999995
28,4,14.468503937007874,135.49
29,1,12.736220472440944,222.52999999999997
29,2,12.460629921259843,322.7
29,3,14.625984251968504,49.620000000000005
29,4,14.350393700787402,135.36
30,1,12.81496062992126,222.67000000000002
30,2,12.696850393700787,320.03999999999996
30,3,14.625984251968504,49.69999999999999
